x-axis,1,2,3
second,Volt,Volt,Volt
-40.65000E-03,+1.97500002E+00,+2.50000000E+00,+2.81874990E+00
-40.60000E-03,+1.78750002E+00,+2.59375000E+00,+2.88124990E+00
-40.55000E-03,+1.66250002E+00,+2.68750000E+00,+2.81874990E+00
-40.50000E-03,+1.44375002E+00,+2.71875000E+00,+2.75624990E+00
-40.45000E-03,+1.25625002E+00,+2.68750000E+00,+2.59999990E+00
-40.40000E-03,+1.10000002E+00,+2.62500000E+00,+2.44374990E+00
-40.35000E-03,+912.50002E-03,+2.53125000E+00,+2.22499990E+00
-40.30000E-03,+850.00002E-03,+2.37500000E+00,+2.00624990E+00
-40.25000E-03,+787.50002E-03,+2.21875000E+00,+1.75624990E+00
-40.20000E-03,+693.75002E-03,+2.03125000E+00,+1.53749990E+00
-40.15000E-03,+693.75002E-03,+1.81250000E+00,+1.25624990E+00
-40.10000E-03,+725.00002E-03,+1.56250000E+00,+1.03749990E+00
-40.05000E-03,+850.00002E-03,+1.37500000E+00,+849.99990E-03
-40.00000E-03,+975.00002E-03,+1.15625000E+00,+693.74990E-03
-39.95000E-03,+1.13125002E+00,+968.75000E-03,+568.74990E-03
-39.90000E-03,+1.25625002E+00,+843.75000E-03,+474.99990E-03
-39.85000E-03,+1.41250002E+00,+687.50000E-03,+474.99990E-03
-39.80000E-03,+1.63125002E+00,+593.75000E-03,+506.24990E-03
-39.75000E-03,+1.85000002E+00,+625.00000E-03,+599.99990E-03
-39.70000E-03,+2.06875002E+00,+625.00000E-03,+693.74990E-03
-39.65000E-03,+2.16250002E+00,+656.25000E-03,+849.99990E-03
-39.60000E-03,+2.28750002E+00,+781.25000E-03,+1.06874990E+00
-39.55000E-03,+2.41250002E+00,+937.50000E-03,+1.31874990E+00
-39.50000E-03,+2.47500002E+00,+1.09375000E+00,+1.53749990E+00
-39.45000E-03,+2.53750002E+00,+1.31250000E+00,+1.78749990E+00
-39.40000E-03,+2.50625002E+00,+1.50000000E+00,+2.03749990E+00
-39.35000E-03,+2.41250002E+00,+1.75000000E+00,+2.22499990E+00
